id;consortium_value;created;minimum_bid_value;number_of_installments;installment_value;segment_type;status
1;69712;2024-02-08T20:34:43;61449;21900;51800;OTHER;WON
2;54000;2024-02-08T15:52:07;36013;92754;22636;AUTOMOBILE;REGISTERED
3;53005;2024-02-08T03:36:43;97720;54263;99161;OTHER;OPEN
4;66775;2024-02-08T20:29:57;69253;45312;28096;AUTOMOBILE;CLOSED
5;19512;2024-02-08T18:18:08;12629;21037;66476;AUTOMOBILE;CLOSED
6;12352;2024-02-08T04:47:15;72743;91815;99561;OTHER;WON
7;67610;2024-02-08T04:35:23;77416;37695;72423;AUTOMOBILE;REGISTERED
8;40153;2024-02-09T00:52:25;13415;19000;33312;OTHER;OPEN
9;96674;2024-02-08T15:35:35;17693;71889;94385;AUTOMOBILE;CLOSED
10;45264;2024-02-08T05:25:31;13616;13784;30920;OTHER;OPEN
